dis	rel	gene
C0270948	disease_gene	ATXN2
C4020875	disease_gene	HSD17B10
C0264133	disease_gene	ZDHHC9
C3806510	disease_gene	COL2A1
C1839630	disease_gene	B4GAT1
C0426820	disease_gene	SOST
C0427149	disease_gene	TIA1
C1855538	disease_gene	INSR
C4021761	disease_gene	GAN
C0006114	disease_gene	SLC25A13
C0376634	disease_gene	FZD4
C0025362	disease_gene	NSDHL
C4021759	disease_gene	TRNL1
C0239234	disease_gene	DHODH
C3714756	disease_gene	PLA2G6
C1849121	disease_gene	TPM2
C0025362	disease_gene	DPAGT1
C0151908	disease_gene	MAP2K1
C1522137	disease_gene	PPP1R3A
C4025017	disease_gene	NPC1
C0236733	disease_gene	HTR6
C4022878	disease_gene	MYLK
C0038002	disease_gene	ITK
C0020455	disease_gene	B2M
C4025202	disease_gene	RFX5
C2673351	disease_gene	GLE1
C1857108	disease_gene	CHRNG
C1838579	disease_gene	HTRA1
C4025788	disease_gene	GTF2IRD1
C1867982	disease_gene	POROK2
C0004352	disease_gene	FBXO40
C0037822	disease_gene	NIPBL
C0023012	disease_gene	ALDH7A1
C0751295	disease_gene	PRNP
C0524851	disease_gene	PDE8B
C0266122	disease_gene	IRF6
C0027659	disease_gene	KRAS
C0557874	disease_gene	NECAP1
C0026827	disease_gene	AHI1
C0010417	disease_gene	WNT5A
C0000786	disease_gene	IL11
C0042798	disease_gene	CNNM4
C0026827	disease_gene	COL13A1
C0222716	disease_gene	CTSK
C0747078	disease_gene	SKI
C2700617	disease_gene	MSH6
C0009918	disease_gene	MPDU1
C1849089	disease_gene	TBX1
C0020649	disease_gene	ADRA2A
C0235063	disease_gene	IPW
C4280629	disease_gene	NHS
C0007786	disease_gene	TBL2
C0021655	disease_gene	PTEN
C4021768	disease_gene	KIT
C1112601	disease_gene	SLC5A1
C2981150	disease_gene	B9D1
C0349588	disease_gene	TRNW
C0010417	disease_gene	ACTA2
C1864897	disease_gene	MNX1
C1866141	disease_gene	HSPB1
C4072833	disease_gene	ZMYND11
C0544886	disease_gene	TP53
C0239174	disease_gene	SEMA3E
C0345408	disease_gene	HPGD
C0085633	disease_gene	TBX1
C0948740	disease_gene	PROP1
C0003811	disease_gene	GYG1
C0085632	disease_gene	SQSTM1
C0038356	disease_gene	DNMT1
C0030567	disease_gene	DRD1
C0003873	disease_gene	GRK6
C1843156	disease_gene	MYO6
C3550546	disease_gene	AMMECR1
C0376634	disease_gene	ATRX
C0038356	disease_gene	PYCARD
C0036341	disease_gene	SCZD1
C0423903	disease_gene	ZNF41
C1691215	disease_gene	WNT4
C0029408	disease_gene	NDUFV1
C0575167	disease_gene	BAZ1B
C0005424	disease_gene	ABCC2
C0740394	disease_gene	REN
C0235357	disease_gene	ERCC6
C0549448	disease_gene	VHL
C0012811	disease_gene	PTEN
C0029422	disease_gene	IFT140
C0398650	disease_gene	ICOS
C0554970	disease_gene	FOXRED1
C0236733	disease_gene	EPHX1
C3809592	disease_gene	FBXL4
C0001824	disease_gene	CSF2
C1858085	disease_gene	MAF
C1858719	disease_gene	SOST
C4020885	disease_gene	RIMS1
C4072832	disease_gene	ETFDH
C1306214	disease_gene	AIP
C0748140	disease_gene	POLA1
C0740279	disease_gene	PEX2
C3554612	disease_gene	LIFR
C0003862	disease_gene	ATP7B
C4021768	disease_gene	PHYH
C0751778	disease_gene	GCK
C0221354	disease_gene	FH
C0026769	disease_gene	STAT4
C0018817	disease_gene	CHD7
C0271386	disease_gene	PEX5
C1858091	disease_gene	ALG3
C0020538	disease_gene	RELA
C1844806	disease_gene	PEX5
C3489733	disease_gene	GBA
C1168401	disease_gene	SOD2
C0035344	disease_gene	NDP
C1837404	disease_gene	PCLO
C1112705	disease_gene	CRYAA
C0023532	disease_gene	GJB6
C0029422	disease_gene	SEC24D
C0240379	disease_gene	MED12
C1864897	disease_gene	XRCC4
C0221260	disease_gene	ITGB4
C4025265	disease_gene	ABCC6
C3278509	disease_gene	GPC3
C1837066	disease_gene	ADA
C2752013	disease_gene	RAPSN
C0030486	disease_gene	CYP7B1
C0003811	disease_gene	BRAF
C1862475	disease_gene	ADAM9
C1866862	disease_gene	PAX2
C1406835	disease_gene	ERCC1
C1832603	disease_gene	GNA11
C0014544	disease_gene	RET
C4020899	disease_gene	ACE
C1621895	disease_gene	CYP11B2
C0038990	disease_gene	FAM134B
C0015397	disease_gene	PROC
C0011570	disease_gene	PNOC
C4020876	disease_gene	KIF4A
C0546884	disease_gene	KCNJ11
C0005586	disease_gene	MRX27
C0014306	disease_gene	HDAC4
C1864389	disease_gene	BUB1B
C0752166	disease_gene	NPHP1
C0236969	disease_gene	CHRNA5
C0014173	disease_gene	CDKN1C
C0152191	disease_gene	CNGB3
C1849121	disease_gene	CENPE
C0004352	disease_gene	TNFRSF1B
C0003126	disease_gene	SEMA3E
C0013604	disease_gene	IL2RG
C1864902	disease_gene	SLC16A1
C0265554	disease_gene	SEM1
C0268306	disease_gene	RHAG
C0231835	disease_gene	LRPPRC
C4228933	disease_gene	LIFR
C0014544	disease_gene	FGFR3
C0023892	disease_gene	LOXL2
C0014544	disease_gene	ERCC5
C4280580	disease_gene	PAX3
C1850049	disease_gene	CDKL5
C0027726	disease_gene	NCK1
C1621895	disease_gene	PDE8B
C0020678	disease_gene	ST14
C0033860	disease_gene	IFIH1
C0683322	disease_gene	NAGA
C0240063	disease_gene	TFAP2A
C0699743	disease_gene	COL6A2
C2750325	disease_gene	FADD
C0262444	disease_gene	KDM6A
C0241703	disease_gene	POC1A
C0014170	disease_gene	MYC
C3714756	disease_gene	TBCE
C0005586	disease_gene	XBP1
C0037274	disease_gene	MMP21
C0025362	disease_gene	NPHP1
C0154671	disease_gene	AARS
C0398639	disease_gene	BRAF
C1836736	disease_gene	EDN3
C0035334	disease_gene	PRPF8
C0031090	disease_gene	PLG
C2051831	disease_gene	CD96
C0026826	disease_gene	SOX10
C0020619	disease_gene	CRB1
C0023893	disease_gene	LCP1
C0268342	disease_gene	PLOD1
C4082169	disease_gene	CHST3
C0022116	disease_gene	ACTA2
C4280457	disease_gene	FGF10
C4020855	disease_gene	SF3B4
C0013377	disease_gene	PARK2
C0678199	disease_gene	SEC23B
C0036341	disease_gene	ZKSCAN4
C0011053	disease_gene	WFS1
C0020678	disease_gene	SNRPE
C3553764	disease_gene	COL3A1
C0025990	disease_gene	SMC3
C3150419	disease_gene	XPNPEP3
C0034935	disease_gene	DDHD2
C0338656	disease_gene	COL3A1
C1854114	disease_gene	MEF2C
C0221209	disease_gene	TBL2
C0001973	disease_gene	SLC1A2
C0085580	disease_gene	HYT8
C0554970	disease_gene	NDUFV1
C3806482	disease_gene	DKC1
C0040028	disease_gene	JAK2
C3714756	disease_gene	SLC25A15
C1866190	disease_gene	SMC1A
C0008924	disease_gene	FGF9
C0033975	disease_gene	PRKCA
C0424551	disease_gene	NDUFB3
C1854494	disease_gene	SMN1
C0018939	disease_gene	GAR1
C0221357	disease_gene	LONP1
C0853697	disease_gene	ATRX
C0423903	disease_gene	NAGA
C4022018	disease_gene	DKC1
C0016978	disease_gene	CCKAR
C0041696	disease_gene	CHRM3
C0349588	disease_gene	SDHD
C3278626	disease_gene	UMPS
C0027498	disease_gene	TRNW
C0265677	disease_gene	ROR2
C4020875	disease_gene	OCRL
C0426428	disease_gene	ALX3
C2748653	disease_gene	MAP2K1
C1866862	disease_gene	ND1
C1843367	disease_gene	KCNJ10
C0152109	disease_gene	SMN1
C0030305	disease_gene	SLC37A4
C1854244	disease_gene	RSCIS
C4020876	disease_gene	PQBP1
C0009363	disease_gene	SHH
C0877359	disease_gene	NFKB1
C0027643	disease_gene	PTGS2
C0042798	disease_gene	IQCB1
C4021776	disease_gene	FGF17
C0728829	disease_gene	SYNJ1
C0339789	disease_gene	SDHB
C0278124	disease_gene	PNKP
C1836542	disease_gene	PAX1
C0175695	disease_gene	SETD2
C1393871	disease_gene	PRG4
C0751837	disease_gene	ANO10
C0152025	disease_gene	DHH
C3714756	disease_gene	POLR1C
C0023893	disease_gene	VAV1
C0005586	disease_gene	USP46
C0036572	disease_gene	PIGT
C0003811	disease_gene	ND4L
C1837098	disease_gene	CHRND
C0032460	disease_gene	PNPLA2
C0020224	disease_gene	KAT6B
C1720887	disease_gene	LIF
C0334092	disease_gene	SDHC
C0007570	disease_gene	CELIAC9
C0026827	disease_gene	FKBP14
C0917816	disease_gene	B9D1
C0751837	disease_gene	SYNE1
C0016689	disease_gene	ERCC6
C0520927	disease_gene	CYP11A1
C0424688	disease_gene	NIPBL
C0036857	disease_gene	AMMECR1
C0026106	disease_gene	SEC24C
C1968729	disease_gene	PFKM
C4280661	disease_gene	PEX19
C1848954	disease_gene	SUOX
C0010278	disease_gene	NELL1
C4280538	disease_gene	SLC26A2
C2700617	disease_gene	VPS53
C1859819	disease_gene	FAM20A
C0008370	disease_gene	HSD3B7
C0042580	disease_gene	SOX17
C0235946	disease_gene	RNF216
C0476397	disease_gene	CACNA1F
C0175754	disease_gene	GLDC
C0234182	disease_gene	CFL2
C1843108	disease_gene	COL9A2
C0524851	disease_gene	MGST1
C0033860	disease_gene	APOE
C1865279	disease_gene	KCNJ1
C0020295	disease_gene	TBX1
C4020876	disease_gene	YAP1
C4020690	disease_gene	TFG
C4012359	disease_gene	NFKBIA
C4280642	disease_gene	SUMO1
C0038356	disease_gene	STAT3
C0494475	disease_gene	GPHN
C0042024	disease_gene	TTR
C1839666	disease_gene	DMD
C0001723	disease_gene	COMT
C1860107	disease_gene	GDF5
C4072825	disease_gene	AP4M1
C4020860	disease_gene	PLK4
C4020899	disease_gene	IGF1R
C1862855	disease_gene	KRAS
C0525045	disease_gene	GABRA5
C3552463	disease_gene	OFD1
C0235946	disease_gene	PARN
C4024818	disease_gene	RGR
C4025203	disease_gene	RAG1
C0015644	disease_gene	KIF1C
C1842876	disease_gene	MYH3
C0000889	disease_gene	AKT2
C0078982	disease_gene	ADAR
C0018801	disease_gene	ALB
C1839758	disease_gene	PIGN
C0008073	disease_gene	SLC2A1
C0005818	disease_gene	FERMT3
C0242422	disease_gene	PDGFB
C0339277	disease_gene	KRT12
C3494422	disease_gene	EYA1
C1844383	disease_gene	STK4
C1842083	disease_gene	CLCN7
C0019322	disease_gene	THRA
C1835121	disease_gene	COL1A1
C1389113	disease_gene	NAGA
C1862863	disease_gene	ITGB4
C0948896	disease_gene	AMACR
C4025845	disease_gene	TGFB2
C1860157	disease_gene	MYO5A
C0345967	disease_gene	WWC1
C1867446	disease_gene	SPECC1L
C0240295	disease_gene	FIG4
C0028738	disease_gene	OCRL
C1853235	disease_gene	HCCS
C0020615	disease_gene	GK
C2936350	disease_gene	PARP1
C0007117	disease_gene	BCC3
C0023893	disease_gene	TTC36
C0042963	disease_gene	GHSR
C0302501	disease_gene	GPC3
C4072837	disease_gene	GJB6
C4280612	disease_gene	KDM6A
C1858285	disease_gene	MPZ
C1850496	disease_gene	VAPB
C2751582	disease_gene	ND2
C1851789	disease_gene	COL1A1
C0920350	disease_gene	TSHR
C0029463	disease_gene	TP53
C0235833	disease_gene	CHRNG
C4020899	disease_gene	FGG
C0019087	disease_gene	STIM1
C0010606	disease_gene	BCORL1
C4020899	disease_gene	ATP5E
C2219717	disease_gene	PRLR
C0020295	disease_gene	TBX15
C0557874	disease_gene	INVS
C0042384	disease_gene	TLR4
C0241011	disease_gene	ZFPM2
C0424503	disease_gene	FGFR2
C0025362	disease_gene	GSS
C0427065	disease_gene	TTN
C0023893	disease_gene	TUSC3
C0029124	disease_gene	GRN
C0042798	disease_gene	COL11A1
C1854301	disease_gene	COL6A2
C0240912	disease_gene	PEX1
C0332563	disease_gene	BRAF
C0019284	disease_gene	GJA1
C0423113	disease_gene	SKI
C3163798	disease_gene	COL13A1
C0221354	disease_gene	KIF22
C4020855	disease_gene	CHRNB1
C0036341	disease_gene	DNMT3B
C4280555	disease_gene	RUNX2
C0008370	disease_gene	SERPINA1
C0033578	disease_gene	FOXA1
C0015934	disease_gene	TERC
C0036572	disease_gene	PSPH
C0026827	disease_gene	TECPR2
C4280651	disease_gene	FLNA
C4255213	disease_gene	PIGN
C3552463	disease_gene	TRHR
C0005944	disease_gene	CYP2R1
C1843392	disease_gene	PEX5
C0023893	disease_gene	A2M
C1845112	disease_gene	CCDC22
C4020899	disease_gene	NDUFB3
C0340493	disease_gene	SCN5A
C0005745	disease_gene	SF3B4
C0036572	disease_gene	DHCR7
C0151786	disease_gene	NDUFAF1
C0040034	disease_gene	ITGA2
C0151564	disease_gene	CP
C0751674	disease_gene	VEGFD
C0009918	disease_gene	SLC9A6
C0026650	disease_gene	MECP2
C0085762	disease_gene	GAL
C0020538	disease_gene	MYLK
C4048801	disease_gene	MSX2
C0036341	disease_gene	KCNJ3
C3806443	disease_gene	CCDC88A
C1864897	disease_gene	SCN1B
C0578038	disease_gene	CITED2
C4020899	disease_gene	HGD
C0019209	disease_gene	AKT2
C4280643	disease_gene	TWIST1
C4021750	disease_gene	EXT1
C4020899	disease_gene	NKX3-2
C0024121	disease_gene	PCNA
C3489733	disease_gene	TREM2
C0042798	disease_gene	RMRP
C0004245	disease_gene	EMD
C0011581	disease_gene	OXTR
C0423867	disease_gene	SPINK5
C0525045	disease_gene	DBH
C3151443	disease_gene	TERT
C0000786	disease_gene	MMP11
C4072821	disease_gene	HPGD
C4021533	disease_gene	BRAF
C0009081	disease_gene	CHRNG
C0399526	disease_gene	PTPN11
C4020875	disease_gene	MID1
C0040136	disease_gene	SDHD
C2981150	disease_gene	TFAP2A
C0151891	disease_gene	EDNRB
C0241772	disease_gene	PRPS1
C0206704	disease_gene	CYP2A6
C0042487	disease_gene	THPO
C0020534	disease_gene	CHRNG
C0266399	disease_gene	CYP17A1
C1864985	disease_gene	FOXRED1
C3278923	disease_gene	GPSM2
C0234182	disease_gene	GFPT1
C1866862	disease_gene	KRT86
C0027498	disease_gene	PMS1
C1858085	disease_gene	CUL7
C4072834	disease_gene	SEC23A
C1843367	disease_gene	CPS1
C1839039	disease_gene	TUBB3
C0041696	disease_gene	QKI
C4280641	disease_gene	MMP2
C0235996	disease_gene	SLC22A5
C0026034	disease_gene	PIGA
C0018800	disease_gene	HMOX1
C0476397	disease_gene	PDE6H
C0015672	disease_gene	PRKACA
C4020899	disease_gene	PCLO
C0917798	disease_gene	TBL2
C1846551	disease_gene	CASP8
C0426422	disease_gene	MMP2
C0020507	disease_gene	BRD4
C0038990	disease_gene	FOXP1
C0016382	disease_gene	TNFRSF1B
C0024232	disease_gene	FOXP1
C1854387	disease_gene	ACTA1
C0029408	disease_gene	TFPI2
C0740279	disease_gene	MRE11
C0086543	disease_gene	HCCS
C0020757	disease_gene	KRT6B
C0025362	disease_gene	FANCC
C0027765	disease_gene	ATF3
C0004114	disease_gene	MMP9
C3151406	disease_gene	NR5A1
C0344724	disease_gene	TBX20
C1840305	disease_gene	RPL26
C0233315	disease_gene	PNPO
C0151576	disease_gene	FHL1
C0476273	disease_gene	STAT5B
C0151908	disease_gene	CTLA4
C4084708	disease_gene	CRYM
C0022821	disease_gene	RAB3GAP1
C0033774	disease_gene	PEPD
C1861218	disease_gene	TBX15
C4280321	disease_gene	DVL1
C1855781	disease_gene	RFXAP
C0268731	disease_gene	FN1
C0001430	disease_gene	ABCG2
C0423113	disease_gene	ANKRD11
C0079744	disease_gene	ALK
C4020899	disease_gene	BRF1
C4020876	disease_gene	NTRK1
C0028768	disease_gene	CCKBR
C0086438	disease_gene	CLCA4
C1859424	disease_gene	ZBTB24
C0004352	disease_gene	BCKDK
C3714756	disease_gene	KANSL1
C0575081	disease_gene	ADCY5
C3887489	disease_gene	HPGD
C0221358	disease_gene	ORC4
C0431399	disease_gene	KIAA0556
C0026918	disease_gene	STAT1
C0029422	disease_gene	TRPV4
C0015625	disease_gene	MX1
C0376634	disease_gene	SETBP1
C0149871	disease_gene	AKT1
C1839254	disease_gene	KIF22
C1835581	disease_gene	ANKRD11
C1865951	disease_gene	KRT85
C1860838	disease_gene	SETD2
C0151766	disease_gene	CPT1A
C0221357	disease_gene	BMP2
C3714580	disease_gene	SCN4A
C3809553	disease_gene	CYC1
C4025569	disease_gene	GNRHR
C0302501	disease_gene	KIF11
C1855062	disease_gene	AP1S2
C4025602	disease_gene	SLC7A9
C0423224	disease_gene	SRCAP
C1854113	disease_gene	HSPG2
C4020860	disease_gene	BCS1L
C1853241	disease_gene	COL5A1
C0265989	disease_gene	RBPJ
C0035305	disease_gene	FBN1
C0038356	disease_gene	TGFA
C0024668	disease_gene	SLC25A10
C4280529	disease_gene	TNFSF11
C0221356	disease_gene	RERE
C0993582	disease_gene	ACSL1
C0149931	disease_gene	MLX
C0027092	disease_gene	MYP4
C3714756	disease_gene	DCHS1
C0022596	disease_gene	CTSC
C0239234	disease_gene	B3GAT3
C1850049	disease_gene	CUL7
C0023893	disease_gene	LRRC28
C0086565	disease_gene	ACOX1
C0235833	disease_gene	IGF1R
C3714756	disease_gene	CCDC22
C0007789	disease_gene	AP4S1
C0554101	disease_gene	RFX5
C2676026	disease_gene	TYR
C0036341	disease_gene	NEFL
C0376480	disease_gene	KCNH1
C0152423	disease_gene	POMT2
C4025814	disease_gene	TCIRG1
C0423867	disease_gene	TTC37
C0032617	disease_gene	CLCNKA
C0029124	disease_gene	ACOX1
C1527311	disease_gene	CPS1
C2267233	disease_gene	PDHX
C0399440	disease_gene	TSC1
C4020899	disease_gene	PIK3CA
C2315100	disease_gene	HADHB
C4024641	disease_gene	POR
C0270948	disease_gene	PEX7
C2239176	disease_gene	FGF3
C0678230	disease_gene	MAPRE2
C1853743	disease_gene	RAB3GAP2
C4020899	disease_gene	AMHR2
C0022638	disease_gene	BCKDHB
C0234428	disease_gene	COX3
C4020875	disease_gene	SLC2A1
C4082243	disease_gene	COL11A1
C0410189	disease_gene	EMD
C3714756	disease_gene	CEP104
C3714497	disease_gene	PEX5
C0005937	disease_gene	CAV1
C1859692	disease_gene	WISP3
C0036572	disease_gene	HPD
C0266470	disease_gene	TERC
C1858729	disease_gene	EGR2
C4020713	disease_gene	HSD3B2
C4020876	disease_gene	NSUN2
C4020899	disease_gene	ITGB2
C0338715	disease_gene	OAS2
C0410203	disease_gene	MTM1
C1384666	disease_gene	CLDN14
C0018834	disease_gene	FAM134B
C0029456	disease_gene	AIP
C4020862	disease_gene	C1GALT1C1
C0026034	disease_gene	MAF
C4280614	disease_gene	TRPS1
C0521694	disease_gene	LARGE1
C1858085	disease_gene	BUB1B
C0557874	disease_gene	PDE6D
C0025261	disease_gene	CHRNA7
C0266544	disease_gene	WNT3
C0036572	disease_gene	BCS1L
C0266061	disease_gene	RFC2
C3278923	disease_gene	CEP135
C0021051	disease_gene	PKP1
C4020875	disease_gene	SETD5
C0038990	disease_gene	PHOX2B
C1857539	disease_gene	AIP
C0004352	disease_gene	PRKAR1A
C0027051	disease_gene	F13A1
C1858628	disease_gene	SLC4A4
C4020875	disease_gene	RBM10
C0018800	disease_gene	ATP2A2
C1861172	disease_gene	FGA
C0221357	disease_gene	BGN
C0003886	disease_gene	MYOD1
C0042798	disease_gene	PIGT
C0151889	disease_gene	SETX
C0241654	disease_gene	GLB1
C0024141	disease_gene	C1S
C0333641	disease_gene	STAT3
C0268060	disease_gene	HAMP
C1863402	disease_gene	HOXD13
C0007758	disease_gene	NDUFS3
C0024236	disease_gene	MAP2K1
C0022821	disease_gene	COL11A2
C1838662	disease_gene	KIF22
C1855009	disease_gene	CDKL5
C0009241	disease_gene	MAOA
C0240543	disease_gene	BRAF
C4021107	disease_gene	FGF8
C0751837	disease_gene	OPHN1
C2674432	disease_gene	TACR3
C1837249	disease_gene	RPE65
C1845112	disease_gene	WASHC5
C0037822	disease_gene	SMC1A
C0264133	disease_gene	CREBBP
C0268632	disease_gene	CNDP1
C1837149	disease_gene	AD9
C0008925	disease_gene	FGF10
C0011853	disease_gene	ADRA1A
C0007621	disease_gene	PARG
C0013362	disease_gene	PRKRA
C0151908	disease_gene	SLC39A4
C1836830	disease_gene	NDUFS6
C0023893	disease_gene	CXADR
C0677886	disease_gene	TP53
C0427065	disease_gene	ATP7A
C1847879	disease_gene	EDA
C0042487	disease_gene	CCR1
C0004352	disease_gene	SNTG2
C0004509	disease_gene	USP9Y
C0027659	disease_gene	URI1
C1458155	disease_gene	HSPA1B
C1836926	disease_gene	CNGB1
C1839860	disease_gene	NPHS1
C4280623	disease_gene	PEPD
C1263846	disease_gene	ADGRL3
C1837352	disease_gene	PLCE1
C2937358	disease_gene	SDHD
C0158731	disease_gene	FBN2
C0151744	disease_gene	AK1
C0234146	disease_gene	EGR2
C0243026	disease_gene	ANGPT1
C0231698	disease_gene	ARL6IP1
C0004352	disease_gene	HLA-A
C0524851	disease_gene	LYST
C0266610	disease_gene	GDF1
C0008925	disease_gene	DGCR14
C4021768	disease_gene	SLC11A2
C0152421	disease_gene	NHS
C3808986	disease_gene	FLRT3
C1839764	disease_gene	CENPF
C1386048	disease_gene	NSUN2
C0023891	disease_gene	COL3A1
C1843392	disease_gene	ERCC2
C0332563	disease_gene	ERAP1
C1854113	disease_gene	XRCC4
C0476397	disease_gene	TUB
C0018824	disease_gene	NELFA
C0001768	disease_gene	IGHM
C4021551	disease_gene	LEPR
C0009404	disease_gene	TNFSF13
C4020875	disease_gene	NDUFS4
C4020873	disease_gene	NDUFS1
C4020899	disease_gene	CNGB1
C4020899	disease_gene	CUL7
C1837760	disease_gene	KCNJ6
C0525045	disease_gene	BDNF
C0018989	disease_gene	TTR
C1956257	disease_gene	FKTN
C0014556	disease_gene	P2RX7
C0023893	disease_gene	AQP7
C0277799	disease_gene	TNFRSF1A
C1844383	disease_gene	MAN2B1
C3554246	disease_gene	CYP26C1
C0025995	disease_gene	DDR2
C0029089	disease_gene	NDUFA2
C0740279	disease_gene	BCAP31
C0085636	disease_gene	TULP1
C4021741	disease_gene	PHC1
C1832446	disease_gene	LPAR6
C0019209	disease_gene	SEC63
C3495559	disease_gene	ALOX12
C0036341	disease_gene	EGR3
C3888310	disease_gene	DFNB83
C2609414	disease_gene	DGKE
C0022596	disease_gene	GJB2
C0232513	disease_gene	LMNA
C4280663	disease_gene	PLG
C1848530	disease_gene	PEX10
C0265341	disease_gene	PIK3R1
C0086543	disease_gene	PRPF3
C4020875	disease_gene	ATP1A3
C0542519	disease_gene	SDCCAG8
C1843367	disease_gene	PEX12
C0028754	disease_gene	PRPF3
C1858719	disease_gene	TCIRG1
C0263523	disease_gene	GPC3
C2676507	disease_gene	IBD21
C1847584	disease_gene	MARS
C0311338	disease_gene	RHO
C0010495	disease_gene	NBAS
C4025900	disease_gene	NHP2
C0948089	disease_gene	PSMB1
C4025673	disease_gene	CYBB
C1865841	disease_gene	ARSB
C4020875	disease_gene	STIL
C0015695	disease_gene	MIR183
C0423903	disease_gene	ALDH4A1
C0265529	disease_gene	KRAS
C1840077	disease_gene	PDE4D
C0162298	disease_gene	GDF5
C0015230	disease_gene	DNASE1L3
C1864897	disease_gene	PAH
C0853193	disease_gene	NRG3
C0009398	disease_gene	PCYT1A
C1858033	disease_gene	PTEN
C0007570	disease_gene	TNFRSF14
C0270922	disease_gene	ERCC5
C0271623	disease_gene	DUSP6
C0152031	disease_gene	SLC40A1
C1398325	disease_gene	SMC1A
C3551052	disease_gene	FGFR2
C0011581	disease_gene	NPS
C3714756	disease_gene	CERS1
C4280617	disease_gene	WNT5A
C4020874	disease_gene	PCBD1
C0027066	disease_gene	TPP1
C2931208	disease_gene	CDH23
C1866190	disease_gene	POMT1
C1856912	disease_gene	EIF2AK3
C0019209	disease_gene	GBA
C3550546	disease_gene	SOST
C3714756	disease_gene	NTNG1
C3278923	disease_gene	FANCB
C0018524	disease_gene	ND1
C1386048	disease_gene	AARS
C0025362	disease_gene	ASCL1
C1827524	disease_gene	IGF1R
C0011853	disease_gene	SOD2
C0152421	disease_gene	GTF2I
C0265783	disease_gene	CHRND
C0494475	disease_gene	CNTN2
C0751778	disease_gene	CDKL5
C0001418	disease_gene	PGAM1
C0003507	disease_gene	VWF
C0936248	disease_gene	IDH2
C0022821	disease_gene	CLCF1
C0035305	disease_gene	HP
C1843367	disease_gene	PTRH2
C0030567	disease_gene	PINK1
C2931367	disease_gene	PPARG
C1269683	disease_gene	LTA
C0017181	disease_gene	IL10
C0026884	disease_gene	ATP1A3
C1257915	disease_gene	CTNNB1
C0006625	disease_gene	ND1
C0346251	disease_gene	TBX18
C0001807	disease_gene	ZMYND11
C4021343	disease_gene	ABCC9
C0151744	disease_gene	RYR2
C0521525	disease_gene	GNS
C0019693	disease_gene	PRPF8
C4020887	disease_gene	NRL
C0036341	disease_gene	LYRM4
C0037932	disease_gene	SMAD3
C0266052	disease_gene	FERMT1
C0175754	disease_gene	GPC4
C1691215	disease_gene	SIN3A
C0694550	disease_gene	ALMS1
C4025846	disease_gene	SOX10
C0011616	disease_gene	OSM
C0019572	disease_gene	NANS
C0009806	disease_gene	MLH1
C0038379	disease_gene	ARNT2
C0239234	disease_gene	PTH1R
C4021365	disease_gene	TWIST1
C4021956	disease_gene	ADA
C0265563	disease_gene	TBX15
C0028754	disease_gene	PDSS1
C0026848	disease_gene	POMT2
C0005586	disease_gene	APOD
C1857453	disease_gene	GRIP1
C0002878	disease_gene	SLC4A1
C1844704	disease_gene	SLC29A3
C0524801	disease_gene	CHEK2
C1858729	disease_gene	PMP22
C0031117	disease_gene	AGXT
C0004096	disease_gene	CTNNA3
C3809522	disease_gene	LARS
C0037932	disease_gene	SMARCB1
C1853743	disease_gene	DDC
C1458155	disease_gene	PARP1
C0162635	disease_gene	ANCR
C4025814	disease_gene	COL11A1
C1857743	disease_gene	RD3
C0011616	disease_gene	CYP1A1
C4020885	disease_gene	KCNJ13
C1850573	disease_gene	COL6A1
C4020873	disease_gene	CLN8
C0241358	disease_gene	LMNA
C0497552	disease_gene	PAX3
C1842680	disease_gene	TBX1
C0541764	disease_gene	IGF1R
C0037268	disease_gene	CTSC
C0027643	disease_gene	LTBP4
C1859117	disease_gene	COL11A2
C0740340	disease_gene	FGA
C4020899	disease_gene	SCNN1A
C0028754	disease_gene	BCHE
C4020899	disease_gene	GRM1
C2315100	disease_gene	PLAGL1
C0009806	disease_gene	NKX2-5
C0235480	disease_gene	SCN1B
C0007786	disease_gene	EGR1
C4280753	disease_gene	ABCA1
C0162539	disease_gene	XIAP
C0017567	disease_gene	CD96
C0018772	disease_gene	PTH1R
C4021565	disease_gene	KRT3
C4021242	disease_gene	BAZ1B
C1850161	disease_gene	FGFR1
C0018200	disease_gene	TLR9
C0740279	disease_gene	ALG3
C1835229	disease_gene	CDK5
C0152013	disease_gene	ALB
C0266423	disease_gene	CRX
C4021780	disease_gene	PEX5
C0031117	disease_gene	PRKCE
C1691215	disease_gene	TP63
C0235946	disease_gene	RAB18
C0149931	disease_gene	PGK1
C0032460	disease_gene	HELLS
C4020876	disease_gene	PYCR1
C3550546	disease_gene	GBA
C1849020	disease_gene	PDE4D
C1854113	disease_gene	BCOR
C4072824	disease_gene	ACOX1
C0040822	disease_gene	PNP
C0424688	disease_gene	SIX3
C0426808	disease_gene	HPGD
C4280654	disease_gene	GATA4
C4021651	disease_gene	PDE4D
C4021982	disease_gene	DPYD
C4020855	disease_gene	CRLF1
C4280566	disease_gene	ARSB
C0235946	disease_gene	SLC33A1
C1839764	disease_gene	UMPS
C0027746	disease_gene	HNRNPA1
C0264142	disease_gene	GPC3
C3887499	disease_gene	PEX2
C4280612	disease_gene	KMT2D
C0917816	disease_gene	GUCY2D
C1849955	disease_gene	HRAS
C0009375	disease_gene	ODC1
C1861324	disease_gene	MED12
C0026826	disease_gene	GMPPB
C0345967	disease_gene	F9
C4280380	disease_gene	GRN
C1857130	disease_gene	MAP3K7
C0266470	disease_gene	STUB1
