dis	rel	gene
C1850530	disease_gene	IDUA
C0524909	disease_gene	HP
C0032460	disease_gene	RHPN1
C0236733	disease_gene	MARC1
C0920269	disease_gene	TARBP2
C1457883	disease_gene	ANK3
C0011616	disease_gene	TLR4
C0020255	disease_gene	SHOC2
C0023892	disease_gene	STAT4
C0086437	disease_gene	TCTN3
C4280320	disease_gene	PITX2
C0268583	disease_gene	WISP3
C1140680	disease_gene	PIK3CA
C1269683	disease_gene	NPAS3
C0236736	disease_gene	HDAC4
C4280518	disease_gene	LRP4
C0344482	disease_gene	TYROBP
C1510497	disease_gene	PQBP1
C0270948	disease_gene	NDUFAF4
C0024667	disease_gene	PRL
C1864900	disease_gene	PDE6H
C0029927	disease_gene	GKN1
C1619700	disease_gene	ITGA8
C0042345	disease_gene	RASA1
C0026827	disease_gene	DDX3X
C0020564	disease_gene	F2
C1853383	disease_gene	DCHS1
C1862132	disease_gene	ZBTB16
C0011991	disease_gene	DNMT3B
C4020899	disease_gene	KLKB1
C0235946	disease_gene	RAP1A
C0025362	disease_gene	ARHGEF6
C0241688	disease_gene	GUCY2D
C0016202	disease_gene	COL1A1
C1860838	disease_gene	GLI2
C0040053	disease_gene	F2
C4025750	disease_gene	MID1
C1836892	disease_gene	CDK4
C4082243	disease_gene	TCOF1
C1837385	disease_gene	COL7A1
C4020770	disease_gene	GLI2
C1854928	disease_gene	NKX3-2
C1855009	disease_gene	BSCL2
C0575158	disease_gene	BCOR
C0036857	disease_gene	ZIC1
C1847501	disease_gene	SLC2A1
C4280495	disease_gene	CCND2
C0023283	disease_gene	TNF
C0018418	disease_gene	HSD3B2
C0009398	disease_gene	ABCA4
C0009806	disease_gene	PDGFRA
C0206762	disease_gene	HOXD12
C1846582	disease_gene	PANK2
C0242350	disease_gene	FGF17
C1839764	disease_gene	COL11A1
C0993582	disease_gene	ACSL4
C1864897	disease_gene	EXOSC8
C0014306	disease_gene	UBE2A
C0266642	disease_gene	ARMC4
C0271215	disease_gene	NDUFAF1
C1301509	disease_gene	GUCY2D
C0426826	disease_gene	PCYT1A
C0557874	disease_gene	AIMP1
C0006111	disease_gene	STAMBP
C3278981	disease_gene	MFN2
C0242422	disease_gene	GCH1
C1834523	disease_gene	NALCN
C0152459	disease_gene	ENPP1
C0744641	disease_gene	KRAS
C0020534	disease_gene	TRIM37
C0028754	disease_gene	TFRC
C3542026	disease_gene	PEX2
C0006386	disease_gene	CLIP2
C0231246	disease_gene	RAG1
C1851797	disease_gene	FGFR2
C1840379	disease_gene	NPHP1
C0432197	disease_gene	WDR34
C0003469	disease_gene	MIF
C0019061	disease_gene	ALB
C0221358	disease_gene	ARSB
C0741796	disease_gene	CD19
C0684219	disease_gene	KCNQ2
C0149931	disease_gene	GATA1
C1842231	disease_gene	FGFR2
C3714756	disease_gene	NPC1
C1842364	disease_gene	PEX14
C0003028	disease_gene	SCN9A
C0265783	disease_gene	LBR
C0001418	disease_gene	MYC
C0036341	disease_gene	AGXT2
C0027658	disease_gene	SCNN1A
C0423110	disease_gene	CTNND2
C2607914	disease_gene	IL13
C0235946	disease_gene	CLN3
C0018790	disease_gene	SCN5A
C4072824	disease_gene	GRIA3
C2751582	disease_gene	TRMU
C4020899	disease_gene	TNFRSF4
C0025362	disease_gene	ZDHHC9
C1853136	disease_gene	PNPLA2
C0036341	disease_gene	TF
C3714756	disease_gene	COQ5
C4021813	disease_gene	WNT4
C0920163	disease_gene	CASP10
C0085159	disease_gene	NR1D1
C1864897	disease_gene	FANCC
C4020875	disease_gene	TUBA8
C2937365	disease_gene	TLR4
C0026827	disease_gene	MVK
C0678230	disease_gene	PTCH1
C0014544	disease_gene	RPE65
C0349588	disease_gene	TRNS1
C0431478	disease_gene	ASCL1
C0344482	disease_gene	TCF4
C1855340	disease_gene	TMEM216
C1850189	disease_gene	TRPS1
C4025893	disease_gene	TP63
C0030297	disease_gene	IFNA1
C0079924	disease_gene	WDPCP
C4024936	disease_gene	VCP
C0265287	disease_gene	LTBP3
C0020534	disease_gene	INSR
C0262444	disease_gene	CDH3
C0376634	disease_gene	COL11A2
C0036341	disease_gene	KMT2A
C4277682	disease_gene	PCOLCE
C0151576	disease_gene	SLC25A20
C0266610	disease_gene	GPC3
C0004352	disease_gene	EP300
C4280495	disease_gene	HSD17B4
C0032927	disease_gene	MIRLET7D
C1855758	disease_gene	SMARCAL1
C0240897	disease_gene	NR2E3
C1848773	disease_gene	LMNA
C0265493	disease_gene	CECR
C3277059	disease_gene	SDHB
C1863402	disease_gene	FGFR2
C3810350	disease_gene	ERCC6L2
C0747078	disease_gene	FSHR
C0427480	disease_gene	SLC4A1
C2677762	disease_gene	ATP7A
C1398312	disease_gene	RAB18
C4020897	disease_gene	WFS1
C2220104	disease_gene	TCIRG1
C0032285	disease_gene	CCL11
C0423798	disease_gene	WIPF1
C0423110	disease_gene	COL11A1
C0004114	disease_gene	KRAS
C0036341	disease_gene	HK1
C0005745	disease_gene	NIPBL
C0398650	disease_gene	FCGR2C
C1866234	disease_gene	FBXL4
C0268079	disease_gene	EHHADH
C1857949	disease_gene	INS
C2677378	disease_gene	SKIV2L
C4020860	disease_gene	TCTN3
C1837485	disease_gene	FLNB
C0240635	disease_gene	KMT2D
C3495801	disease_gene	PRTN3
C4021759	disease_gene	GRN
C0263523	disease_gene	STAMBP
C0033578	disease_gene	STARD3
C0026821	disease_gene	KCNJ1
C0162119	disease_gene	ALPL
C1853237	disease_gene	GJA5
C0036341	disease_gene	BID
C1849510	disease_gene	MYH3
C4020876	disease_gene	IFT140
C0581381	disease_gene	OFD1
C4020899	disease_gene	AHCY
C0001973	disease_gene	EPHA8
C0683322	disease_gene	GNAS
C4280613	disease_gene	PTPN2
C1867060	disease_gene	FGFR3
C1843108	disease_gene	FGFR2
C0234632	disease_gene	OPA1
C4280613	disease_gene	STAT4
C0917799	disease_gene	TSHR
C1832841	disease_gene	FCMTE1
C2673410	disease_gene	KIF22
C0270948	disease_gene	GFPT1
C0004093	disease_gene	IL2
C3489724	disease_gene	RNASEH2B
C1837522	disease_gene	HERC2
C3715165	disease_gene	SGCD
C0007222	disease_gene	GDNF
C0005941	disease_gene	PCSK5
